roi_id,mean_peak_to_peak_distance[ms],mean_firing_frequency[Hz]
ROI1,284.05,3.5
ROI2,283.9,3.5
ROI3,246.69565217391303,4.0
ROI4,354.1875,2.8333333333333335
ROI5,235.94117647058823,3.0
ROI6,283.85,3.5
ROI7,284.1,3.5
ROI8,283.95,3.5
ROI9,258.22727272727275,3.8333333333333335
ROI10,270.42857142857144,3.6666666666666665
ROI11,284.4,3.5
ROI12,258.09090909090907,3.8333333333333335
ROI13,258.0,3.8333333333333335
ROI14,270.3333333333333,3.6666666666666665
ROI15,270.6666666666667,3.6666666666666665
ROI16,258.04545454545456,3.8333333333333335
ROI17,258.1818181818182,3.8333333333333335
ROI18,270.6190476190476,3.6666666666666665
ROI19,283.7,3.5
ROI20,270.5238095238095,3.6666666666666665
ROI21,283.85,3.5
ROI22,283.9,3.5
ROI23,283.8,3.5
ROI24,258.09090909090907,3.8333333333333335
ROI25,250.56521739130434,4.0
ROI26,246.8695652173913,4.0
ROI27,226.88,4.333333333333333
ROI28,284.15,3.5
ROI29,284.0,3.5
ROI30,244.47619047619048,3.6666666666666665
ROI31,210.25925925925927,4.666666666666667
ROI32,283.95,3.5
ROI33,284.1,3.5
ROI34,303.3125,2.8333333333333335
ROI35,284.1,3.5
ROI36,284.05,3.5
ROI37,283.65,3.5
ROI38,227.28,4.333333333333333
ROI39,257.8181818181818,3.8333333333333335
ROI40,209.40740740740742,4.666666666666667
ROI41,298.5263157894737,3.3333333333333335
ROI42,210.40740740740742,4.666666666666667
ROI43,270.2857142857143,3.6666666666666665
ROI44,270.57142857142856,3.6666666666666665
ROI45,270.4761904761905,3.6666666666666665
ROI46,236.08333333333334,4.166666666666667
ROI47,236.58333333333334,4.166666666666667
ROI48,283.95,3.5
ROI49,270.4761904761905,3.6666666666666665
ROI50,284.05,3.5
ROI51,270.6666666666667,3.6666666666666665
ROI52,257.90909090909093,3.8333333333333335
ROI53,258.04545454545456,3.8333333333333335
ROI54,210.37037037037038,4.666666666666667
ROI55,284.05,3.5
ROI56,247.0,4.0
ROI57,257.77272727272725,3.8333333333333335
ROI58,284.0,3.5
ROI59,237.64705882352942,3.0
ROI60,284.15,3.5
ROI61,236.58333333333334,4.166666666666667
ROI62,294.11764705882354,3.0
ROI63,270.7142857142857,3.6666666666666665
ROI64,270.3809523809524,3.6666666666666665
ROI65,315.3888888888889,3.1666666666666665
ROI66,283.85,3.5
ROI67,386.7857142857143,2.5
ROI68,283.95,3.5
ROI69,269.8095238095238,3.6666666666666665
ROI70,283.9,3.5
ROI71,236.54166666666666,4.166666666666667
ROI72,451.1666666666667,2.1666666666666665
ROI73,236.625,4.166666666666667
ROI74,258.0,3.8333333333333335
ROI75,283.95,3.5
ROI76,387.0,2.5
ROI77,573.5555555555555,1.6666666666666667
ROI78,258.09090909090907,3.8333333333333335
ROI79,1077.0,0.6666666666666666
ROI80,355.0625,2.8333333333333335
ROI81,284.15,3.5
ROI82,169.2058823529412,5.833333333333333
ROI83,270.1904761904762,3.6666666666666665
ROI84,258.27272727272725,3.8333333333333335
ROI85,283.8,3.5
ROI86,283.75,3.5
ROI87,258.09090909090907,3.8333333333333335
ROI88,236.58333333333334,4.166666666666667
ROI89,378.2,2.6666666666666665
ROI90,283.85,3.5
ROI91,258.04545454545456,3.8333333333333335
ROI92,,0.16666666666666666
ROI93,257.90909090909093,3.8333333333333335
ROI94,283.95,3.5
ROI95,283.8,3.5
ROI96,257.95454545454544,3.8333333333333335
ROI97,270.5238095238095,3.6666666666666665
ROI98,361.46666666666664,2.6666666666666665
ROI99,284.6,3.5
ROI100,183.0,5.333333333333333
ROI101,270.8095238095238,3.6666666666666665
ROI102,283.5,3.5
ROI103,299.0,3.3333333333333335
ROI104,270.5238095238095,3.6666666666666665
ROI105,283.85,3.5
ROI106,300.6111111111111,3.1666666666666665
ROI107,247.43478260869566,4.0
ROI108,439.0,2.0
ROI109,270.0,3.6666666666666665
ROI110,283.7,3.5
ROI111,257.95454545454544,3.8333333333333335
ROI112,338.8125,2.8333333333333335
ROI113,269.9047619047619,3.6666666666666665
ROI114,361.38461538461536,2.3333333333333335
ROI115,283.9,3.5
ROI116,270.85714285714283,3.6666666666666665
ROI117,284.35,3.5
ROI118,284.45,3.5
ROI119,472.6666666666667,2.1666666666666665
ROI120,236.54166666666666,4.166666666666667
ROI121,417.44444444444446,1.6666666666666667
ROI122,473.25,2.1666666666666665
ROI123,283.6,3.5
ROI124,315.1666666666667,3.1666666666666665
ROI125,539.1111111111111,1.6666666666666667
ROI126,405.64285714285717,2.5
ROI127,246.82608695652175,4.0
ROI128,354.875,2.8333333333333335
ROI129,283.65,3.5
ROI130,221.03846153846155,4.5
ROI131,429.0833333333333,2.1666666666666665
ROI132,283.85,3.5
ROI133,539.0,1.6666666666666667
ROI134,485.5,1.8333333333333333
ROI135,298.63157894736844,3.3333333333333335
ROI136,298.5263157894737,3.3333333333333335
ROI137,484.8,1.8333333333333333
ROI138,538.4444444444445,1.6666666666666667
ROI139,537.8888888888889,1.6666666666666667
ROI140,538.3333333333334,1.6666666666666667
ROI141,283.9,3.5
ROI142,175.36363636363637,5.666666666666667
ROI143,378.6666666666667,2.6666666666666665
ROI144,246.7391304347826,4.0
ROI145,192.5,5.166666666666667
ROI146,716.7142857142857,1.3333333333333333
ROI147,314.77777777777777,3.1666666666666665
ROI148,211.48,4.333333333333333
