roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI1,2292,2.1312,1.094561547
ROI1,3105,1.54911,0.5124715469999999
ROI1,5243,2.1255,1.088861547
ROI2,2292,2.1158,1.0797132766666668
ROI2,3105,1.74437,0.7082832766666667
ROI2,5243,2.1364,1.1003132766666668
ROI3,2296,1.69189,0.6674146193333332
ROI3,3108,1.6156,0.5911246193333333
ROI3,5245,1.8838,0.8593246193333333
ROI4,2292,2.1236,1.0875619200000002
ROI4,3107,1.63659,0.60055192
ROI4,5246,2.0089,0.9728619200000002
ROI5,2292,1.77194,0.7350328906666668
ROI5,3105,1.49577,0.45886289066666675
ROI5,5244,1.71137,0.6744628906666668
ROI6,2294,1.74351,0.7081001999999998
ROI6,3105,1.47622,0.44081020000000004
ROI6,5243,1.60888,0.5734702
ROI7,2294,1.84359,0.810518666666667
ROI7,3103,1.77586,0.742788666666667
ROI7,5244,2.2188,1.1857286666666669
ROI8,2293,1.88114,0.8531051433333332
ROI8,3105,1.7118,0.6837651433333332
ROI8,5244,1.85076,0.8227251433333331
ROI9,2291,2.0121,0.9786266560000003
ROI9,3094,1.55397,0.5204966560000002
ROI9,5243,1.84102,0.8075466560000002
ROI10,2294,2.0682,1.0260169776666668
ROI10,3106,1.53968,0.4974969776666667
ROI10,5245,1.97616,0.9339769776666667
ROI10,5725,1.36239,0.3202069776666667
ROI11,2294,2.1154,1.0767725723333337
ROI11,3105,1.62124,0.5826125723333335
ROI11,5245,1.77694,0.7383125723333335
ROI12,2296,1.83579,0.8052119573333336
ROI12,3104,1.54788,0.5173019573333335
ROI12,5246,1.94571,0.9151319573333336
ROI13,2291,1.98766,0.9555212533333335
ROI13,2361,1.2326,0.20046125333333342
ROI13,3104,1.81325,0.7811112533333335
ROI13,5244,2.1254,1.0932612533333335
ROI14,2292,1.73626,0.6968310233333332
ROI14,3103,1.43099,0.3915610233333333
ROI14,5243,1.70427,0.6648410233333333
ROI15,2294,1.9306,0.8800700506666668
ROI15,3104,1.86047,0.8099400506666667
ROI15,5243,1.7166,0.6660700506666666
ROI16,2297,1.81969,0.785227906666667
ROI16,3107,1.57167,0.5372079066666668
ROI16,5245,1.81219,0.7777279066666669
ROI17,2295,1.64157,0.6141246199999999
ROI17,2544,1.21525,0.18780461999999987
ROI17,3105,1.47257,0.44512461999999986
ROI17,5245,1.82902,0.80157462
ROI18,2297,1.93413,0.9022292599999999
ROI18,3107,1.59671,0.5648092600000001
ROI18,5246,1.89779,0.8658892600000001
ROI19,2296,1.73206,0.7027300533333334
ROI19,3105,1.61224,0.5829100533333333
ROI19,5244,1.7187,0.6893700533333333
ROI20,2294,1.64304,0.6086684906666666
ROI20,3097,1.5095,0.4751284906666666
ROI20,5244,1.64732,0.6129484906666665
ROI21,2291,1.53593,0.5099106433333334
ROI21,3110,1.68135,0.6553306433333332
ROI21,5243,1.7524,0.7263806433333333
ROI21,5297,1.37169,0.3456706433333334
ROI22,2261,1.26877,0.23661507000000004
ROI22,2292,2.016,0.9838450700000001
ROI22,2811,1.19515,0.16299507000000002
ROI22,3104,1.81153,0.7793750700000002
ROI22,4091,1.19033,0.1581750700000002
ROI22,4359,1.1943,0.16214507
ROI22,5242,2.1621,1.1299450700000002
ROI23,2295,1.8689,0.8358204703333334
ROI23,3107,1.52394,0.49086047033333347
ROI23,5243,2.0342,1.0011204703333332
ROI24,2292,1.65835,0.6321196740000001
ROI24,3097,1.50879,0.4825596740000002
ROI24,5244,1.63894,0.6127096740000002
ROI25,2295,1.8012,0.7699990666666665
ROI25,3107,1.43307,0.40186906666666666
ROI25,5246,1.85857,0.8273690666666667
ROI26,1402,1.2391,0.21193406766666678
ROI26,2295,1.85423,0.8270640676666667
ROI26,3105,1.50269,0.47552406766666677
ROI26,5245,1.75444,0.7272740676666667
ROI27,2294,1.67703,0.64493728
ROI27,3105,1.50787,0.47577727999999997
ROI27,5243,1.67351,0.64141728
ROI28,2301,1.84147,0.8111249800000002
ROI28,3104,1.39577,0.36542498000000023
ROI28,5246,1.97569,0.9453449800000002
ROI29,2293,1.55074,0.5237627400000002
ROI29,3097,1.49585,0.4688727400000001
ROI29,5243,1.67135,0.6443727400000001
